bookID,authors,average_rating,isbn,isbn13,language_code,  num_pages,publication_date,publisher,ratings_count,text_reviews_count,title
74,John McPhee/William Howarth,4.42,374517193,9.78037E+12,eng,416,6/1/1982,Farrar  Straus and Giroux,562,37,The John McPhee Reader (John McPhee Reader  #1)
75,John McPhee,3.95,374280398,9.78037E+12,en-US,248,5/16/2006,Farrar Straus Giroux,1630,203,Uncommon Carriers
76,John McPhee,4.17,374519749,9.78037E+12,eng,128,4/1/1986,Farrar  Straus and Giroux,268,22,Heirs of General Practice
77,John McPhee,4.24,374522596,9.78037E+12,en-US,288,9/1/1990,Farrar  Straus and Giroux,3498,305,The Control of Nature
78,John McPhee,4.34,374518734,9.78037E+12,eng,720,1/6/1999,Farrar  Straus and Giroux,3115,228,Annals of the Former World
79,John McPhee,4.22,374522871,9.78037E+12,eng,448,4/1/1991,Farrar  Straus and Giroux,5704,261,Coming Into the Country
80,John McPhee,3.92,374519323,9.78037E+12,fre,160,4/1/1994,Farrar  Straus and Giroux,698,52,La Place de la Concorde Suisse
81,John McPhee,4.23,374516006,9.78037E+12,eng,288,4/1/1994,Farrar  Straus and Giroux,542,36,Giving Good Weight
83,John McPhee,4.23,374520658,9.78037E+12,eng,208,11/1/1987,Farrar  Straus and Giroux,1341,98,Rising from the Plains
85,Wendy Wasserstein,3.75,822205106,9.78082E+12,eng,81,3/1/2002,Dramatists Play Service,1423,70,The Heidi Chronicles
86,Wendy Wasserstein,3.84,679734996,9.78068E+12,eng,249,7/2/1991,Vintage,2766,64,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic
89,Heidi Hayes Jacobs,3.94,1596670231,9.7816E+12,eng,138,3/29/2006,Routledge,31,1,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening
90,Heidi Boyd,3.77,1581807740,9.78158E+12,en-US,128,3/14/2006,North Light Books,62,4,Simply Beautiful Beaded Jewelry
91,Heidi Baker/Rolland Baker,4.46,800793617,9.7808E+12,eng,192,9/1/2003,Chosen Books,860,53,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth
92,Heidi Hayes Jacobs,3.68,871202867,9.78087E+12,en-US,108,1/28/1997,Association for Supervision & Curriculum Development,77,2,Mapping the Big Picture: Integrating Curriculum & Assessment K-12
93,Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,753454947,9.78075E+12,eng,352,11/15/2002,Kingfisher,153317,2257,Heidi (Heidi  #1-2)
94,Heidi Hayes Jacobs,3.25,871209993,9.78087E+12,eng,192,11/15/2004,ASCD,55,5,Getting Results with Curriculum Mapping
96,Rolland Baker/Heidi Baker,4.46,1852402873,9.78185E+12,eng,192,4/28/2003,Sovereign World,34,6,There's Always Enough: The Miraculous Move of God in Mozambique
98,Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,761129588,9.78076E+12,eng,832,10/16/2003,Workman Publishing Company,11797,659,What to Expect the First Year (What to Expect)
99,Heidi Fleiss/Libby Keatinge,3.82,972016414,9.78097E+12,eng,123,5/10/2004,One Hour Entertainment,34,8,The Player's Handbook: The Ultimate Guide on Dating and Relationships
100,Heidi Boyd,3.78,1581805632,9.78158E+12,en-US,128,8/19/2004,North Light Books,78,4,Simply Beautiful Beading: 53 Quick and Easy Projects
103,Frank Herbert,3.84,441294677,9.78044E+12,eng,423,6/15/1987,Ace Books,2785,166,God Emperor of Dune (Dune Chronicles  #4)
105,Frank Herbert,3.91,441102670,9.78044E+12,eng,436,7/1/1987,Ace Books,38778,568,Chapterhouse: Dune (Dune Chronicles #6)
106,Frank Herbert,3.88,441172695,9.78044E+12,eng,331,7/15/1987,Ace Books,97494,2359,Dune Messiah (Dune Chronicles #2)
107,Brian Herbert,4.01,765306476,9.78077E+12,en-US,592,7/1/2004,Tor Books,784,21,Dreamer of Dune: The Biography of Frank Herbert
109,Frank Herbert,3.86,399128980,9.7804E+12,eng,480,4/16/1984,Putnam,272,20,Heretics of Dune (Dune Chronicles  #5)
110,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,765353709,9.78077E+12,eng,426,8/29/2006,Tor Science Fiction,4789,83,The Road to Dune
117,Frank Herbert,3.86,441328008,9.78044E+12,eng,471,8/15/1987,Ace Books,45388,644,Heretics of Dune (Dune Chronicles #5)
119,Gary Russell,4.59,618212906,9.78062E+12,eng,192,6/12/2002,Houghton Mifflin Harcourt,26153,102,The Lord of the Rings: The Art of the Fellowship of the Ring
122,Bryce Courtenay,4.35,034541005X,9.78035E+12,eng,544,9/29/1996,Ballantine Books,69167,4551,The Power of One (The Power of One  #1)
123,Bryce Courtenay,4.35,385732546,9.78039E+12,eng,291,9/13/2005,Delacorte Books for Young Readers,45,13,The Power of One (The Power of One  #1)
129,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,785260056,9.78079E+12,en-US,256,11/1/2004,Thomas Nelson,16,1,The Power of One: One Person  One Rule  One Month
130,Dave Lakhani,3.34,471780936,9.78047E+12,eng,205,5/19/2006,Wiley,174,16,Power of an Hour: Business and Life Mastery in One Hour a Week
131,Louis E. Catron,3.67,325001537,9.78033E+12,eng,240,2/7/2000,Heinemann Drama,10,0,The Power of One: The Solo Play for Playwrights  Actors  and Directors
132,Adam Ginsberg,3.48,006076287X,9.78006E+12,eng,336,5/3/2005,William Morrow Paperbacks,76,9,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days
133,Marsha Collier,3.5,470045299,9.78047E+12,eng,386,10/30/2006,Wiley,111,9,eBay for Dummies
135,Chris Malta/Lisa Suttora,3.62,72262788,9.78007E+12,eng,260,1/24/2006,McGraw-Hill,24,0,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond
137,Marsha Collier,3.55,764569244,9.78076E+12,eng,384,9/17/2004,Wiley,55,4,Starting an eBay Business for Dummies
138,Julia Wilkinson,4.27,471933821,9.78047E+12,eng,260,6/6/2006,Wiley,9,0,eBay: Top 100 Simplified Tips & Tricks
139,Marsha Collier,3.39,764559915,9.78076E+12,en-US,391,5/31/2004,Wiley,22,1,ebay Timesaving Techniques for Dummies
140,Marsha Collier,3.89,764584383,9.78076E+12,en-US,864,4/25/2005,Wiley,17,3,eBay Business All-in-One Desk Reference for Dummies
141,Lucas Carlson/Leonard Richardson,3.84,596523696,9.7806E+12,eng,873,7/29/2006,O'Reilly Media,166,4,Ruby Cookbook
142,Ruby Ann Boxcar,4.12,806523492,9.78081E+12,eng,240,5/3/2005,Citadel,50,5,Ruby Ann's Down Home Trailer Park Cookbook
144,Ruby Ann Boxcar,4.08,806525363,9.78081E+12,eng,206,5/3/2005,Citadel,13,2,Ruby Ann's Down Home Trailer Park BBQin' Cookbook
147,Rob Orsini,3.48,596527314,9.7806E+12,eng,514,1/1/2007,O'Reilly Media,64,1,Rails Cookbook: Recipes for Rapid Web Development with Ruby
151,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,143035002,9.78014E+12,eng,838,5/31/2004,Penguin Classics,16643,1851,Anna Karenina
152,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,451528611,9.78045E+12,eng,960,11/5/2002,Signet,109420,5696,Anna Karenina
153,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,140449175,9.78014E+12,eng,837,1/30/2003,Penguin Books,2904,309,Anna Karenina
154,Marianne Sturman/Leo Tolstoy,3.85,822001837,9.78082E+12,eng,80,11/26/1965,Cliffs Notes,16,3,CliffsNotes on Tolstoy's Anna Karenina
155,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,9.78159E+12,eng,803,7/1/2003,Barnes & Noble Classics,9564,726,Anna Karenina
156,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,486437965,9.78049E+12,eng,752,11/23/2004,Dover Publications,474,72,Anna Karenina
157,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,9.78159E+12,eng,803,8/26/2004,Barnes & Noble,303,48,Anna Karenina
159,Gloria Goldreich,2.99,778322270,9.78078E+12,eng,360,1/28/2006,Mira Books,411,65,Dinner with Anna Karenina
160,Anthony Thorlby,4.19,521313252,9.78052E+12,eng,128,11/26/1987,Cambridge University Press,1204,33,Tolstoy: Anna Karenina
162,Mulk Raj Anand/E.M. Forster,3.71,140183957,9.78014E+12,eng,160,7/3/1990,Penguin Books,3429,279,Untouchable
163,John Banville,3.95,679767479,9.78068E+12,eng,367,6/30/1998,Vintage,2163,216,The Untouchable
164,Eliot Ness/Oscar Fraley,3.89,1568491980,9.78157E+12,eng,256,2/1/1996,Buccaneer Books,613,31,The Untouchables
165,Narendra Jadhav,3.82,743270797,9.78074E+12,en-US,320,9/27/2005,Scribner,308,40,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India
166,V.T. Rajshekar/Y.N. Kly,4.2,932863051,9.78093E+12,eng,100,1/28/1995,Clarity Press,10,0,Dalit: The Black Untaouchables of India
168,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,742508803,9.78074E+12,eng,224,12/20/2000,Rowman & Littlefield Publishers,16,4,Growing Up Untouchable in India: A Dalit Autobiography
171,Barry R. Cournoyer,3.4,205358624,9.78021E+12,eng,216,9/22/2003,Pearson,10,0,The Evidence-Based Social Work Skills Book
177,John Carratello/Patty Carratello/Theresa Wright,4,1557344035,9.78156E+12,eng,48,9/28/1991,Teacher Created Resources,17,0,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom"
180,George Smoot/Keay Davidson,4.01,380720442,9.78038E+12,eng,360,10/1/1994,Harper Perennial,1035,23,Wrinkles in Time
181,Madeleine L'Engle,4,821925326,9.78082E+12,eng,250,5/1/2002,EMC/Paradigm Publishing,36,6,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1)
182,Tara MacCarthy,3.6,043927169X,9.78044E+12,eng,32,1/1/2002,Teaching Resources,15,0,Literature Circle Guide: A Wrinkle in Time
201,Madeleine L'Engle,4,606105263,9.78061E+12,spa,205,6/1/1984,Turtleback Books,6,1,Una arruga en el tiempo – A Wrinkle in Time
204,Cynthia Harrod-Eagles,4.12,751506435,9.78075E+12,eng,367,6/1/1994,Little  Brown Book Group,376,17,The Long Shadow (The Morland Dynasty  #6)
205,Charles Todd,4.11,006078671X,9.78006E+12,eng,352,1/3/2006,William Morrow,3086,237,A Long Shadow (Inspector Ian Rutledge  #8)
207,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,743499344,9.78074E+12,en-US,320,11/1/2005,Atria Books,352,44,Long Way Round: Chasing Shadows Across the World
208,Daniel Abraham,3.6,765313405,9.78077E+12,eng,331,3/7/2006,Tor Books,9852,633,A Shadow in Summer (Long Price Quartet  #1)
213,Charles Willeford/James Lee Burke,3.9,1400032490,9.7814E+12,eng,244,8/10/2004,Vintage Crime/Black Lizard,821,78,New Hope for the Dead (Hoke Mosely #2)
214,Charles Willeford/Lawrence Block,4.05,1400032482,9.7814E+12,eng,215,3/8/2005,Vintage Crime/Black Lizard,731,72,Sideswipe: A Hoke Moseley Novel
216,Charles Willeford/Elmore Leonard,3.94,1400032466,9.7814E+12,eng,191,8/10/2004,Vintage Crime/Black Lizard,2897,178,Miami Blues (Hoke Moseley #1)
230,Charles Willeford,3.89,679732527,9.78068E+12,eng,144,10/3/1990,Vintage,98,11,The Burnt Orange Heresy (Vintage Crime/Black Lizard)
231,Tom Wolfe,3.42,312424442,9.78031E+12,eng,738,8/30/2005,Picador USA,20888,1688,I am Charlotte Simmons
237,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,806930772,9.78081E+12,eng,48,10/1/2001,Sterling,66,19,Poetry for Young People: Edward Lear
244,Quentin Blake,4.02,140366601,9.78014E+12,eng,287,10/3/1996,Puffin,81,6,The Puffin Book of Nonsense Verse
245,Henry Miller/Thomas H. Moore,4.22,811201120,9.78081E+12,eng,217,2/1/1964,New Directions Publishing,981,52,Henry Miller on Writing
247,Henry Miller,3.69,080213016X,9.7808E+12,eng,154,1/13/1994,Grove Press,3381,141,Quiet Days in Clichy
249,Henry Miller/Jiří Níl,3.68,802131786,9.7808E+12,eng,318,1/6/1994,Grove Press,53206,2376,Tropic of Cancer
250,Henry Miller,3.78,802151825,9.7808E+12,eng,348,1/13/1994,Grove Press,14872,459,Tropic of Capricorn
251,Henry Miller,4.1,802151787,9.7808E+12,eng,316,1/13/1994,Grove Press,3261,58,Nexus (The Rosy Crucifixion  #3)
252,Henry Miller,3.98,802151809,9.7808E+12,eng,506,1/12/1994,Grove Press,7805,251,Sexus (The Rosy Crucifixion  #1)
253,Henry Miller,3.83,811201066,9.78081E+12,eng,292,1/17/1970,New Directions,2699,142,The Air-Conditioned Nightmare
264,Henry James/Patricia Crick,3.78,141439637,9.78014E+12,eng,797,9/30/2003,Penguin Classics,61640,1951,The Portrait of a Lady
269,Henry James/Gabriel Brownstein/Mary Cregan,3.78,1593080964,9.78159E+12,eng,635,1/16/2004,Barnes  Noble Classics,392,41,The Portrait of a Lady
277,Marguerite Duras,3.75,1571290532,9.78157E+12,eng,91,5/6/1999,Brookline Books,778,44,Writing
278,Marguerite Duras/Barbara Bray,3.85,1565842219,9.78157E+12,eng,192,8/1/1994,The New Press,963,65,The War
280,Marguerite Duras/Richard Seever,3.66,394743040,9.78039E+12,en-US,181,3/12/1986,Pantheon,2057,128,The Ravishing of Lol Stein
285,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,1851681825,9.78185E+12,eng,178,7/1/1999,One World (UK),203,8,Love Letters
288,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,156656249X,9.78157E+12,eng,464,4/1/1998,Interlink Publishing Group,35,2,Kahlil Gibran: His Life and World
289,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,014019553X,9.78014E+12,eng,102,1/1/1998,Penguin Books,328,16,The Beloved: Reflections on the Path of the Heart
290,Kahlil Gibran/جبران خليل جبران,3.98,394431243,9.78039E+12,eng,216,2/21/1995,Knopf,1308,82,Jesus the Son of Man
291,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,806501901,9.78081E+12,eng,132,3/3/2003,Citadel,6432,517,The Broken Wings
292,Kahlil Gibran/جبران خليل جبران,4.08,067943920X,9.78068E+12,eng,100,6/14/2011,Knopf,3015,217,Sand and Foam
295,Robert Louis Stevenson,3.83,753453800,9.78075E+12,eng,311,9/15/2001,Kingfisher,318753,6734,Treasure Island
296,Robert Louis Stevenson/Scott McKowen,3.83,1402714572,9.7814E+12,en-US,213,10/1/2004,Sterling Children's Books,420,42,Treasure Island
297,Robert Louis Stevenson,3.83,1416500294,9.78142E+12,eng,245,6/1/2005,Simon & Schuster,5967,276,Treasure Island
298,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,689854684,9.78069E+12,eng,64,7/1/2003,Atheneum Books for Young Readers,104,14,Treasure Island
299,Robert Louis Stevenson/Milo Winter,3.83,517221144,9.78052E+12,en-US,272,9/3/2002,Gramercy Books,56,4,Treasure Island
302,Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,1577658051,9.78158E+12,eng,232,1/31/2006,Abdo Publishing Company,91,16,Treasure Island (Great Illustrated Classics)
313,Ralph Ginzburg,4.61,933121180,9.78093E+12,eng,270,11/22/1996,Black Classic Press,88,4,100 Years of Lynchings
324,Gabriel García Márquez,4.07,785950109,9.78079E+12,spa,448,1/1/1990,French & European,63,7,Cien años de soledad
330,Dr. Seuss,4.04,394800842,9.78039E+12,eng,64,9/12/1955,Random House Books for Young Readers,2815,164,On Beyond Zebra!
332,Debbie Raleigh,3.6,821778250,9.78082E+12,eng,256,6/7/2005,Zebra,95,13,The Wedding Clause
333,Kevin Henkes,3.44,60733039,9.78006E+12,eng,147,2/15/2005,Greenwillow Books,217,24,The Zebra Wall
337,Patrick Süskind,4.02,8432216062,9.78843E+12,spa,239,6/1/2002,Booket,4136,255,El perfume: Historia de un asesino
348,Robert A. Heinlein,4.01,345413997,9.78035E+12,eng,304,6/17/1997,Del Rey,17232,649,The Door Into Summer
350,Robert A. Heinlein,3.92,441788386,9.78044E+12,eng,528,10/1/1991,Ace,251872,6241,Stranger in a Strange Land
354,Robert A. Heinlein,3.87,441748600,9.78044E+12,en-US,434,6/1/1988,Ace Books,10293,193,To Sail Beyond the Sunset
355,Robert A. Heinlein,3.78,345316509,9.78035E+12,en-US,439,10/12/1985,Del Rey,15970,438,Job: A Comedy of Justice
356,Robert A. Heinlein,3.97,765314932,9.78077E+12,eng,256,8/8/2006,Tor Books,6898,200,Time for the Stars (Heinlein's Juveniles  #10)
357,Douglas Adams,4.06,671742515,9.78067E+12,en-US,307,2/15/1991,Pocket Books,67803,1401,The Long Dark Tea-Time of the Soul (Dirk Gently  #2)
359,Douglas Adams,3.93,345455290,9.78035E+12,eng,298,4/26/2005,Del Rey,22091,746,The Salmon of Doubt (Dirk Gently  #3)
362,Nick  Webb,4.14,345476514,9.78035E+12,eng,368,12/27/2005,Del Rey,2623,49,Wish You Were Here: The Official Biography of Douglas Adams
367,Terry Jones,3.6,345368436,9.78035E+12,eng,256,10/27/1998,Ballantine Books,885,84,Douglas Adams's Starship Titanic
377,Douglas Adams/Christopher Cerf,3.93,1417622857,9.78142E+12,eng,336,7/1/2003,Turtleback Books,5,0,Salmon of Doubt: Hitchhiking the Galaxy One Last Time
382,Susan Nanus/Norton Juster,4.13,573650969,9.78057E+12,eng,72,1/12/2011,Samuel French  Inc.,100,13,The Phantom Tollbooth: A Children's Play in Two Acts
385,Harry G. Frankfurt,3.57,691122946,9.78069E+12,eng,67,1/30/2005,Princeton University Press,9358,995,On Bullshit
386,Nick Flynn,3.78,393329402,9.78039E+12,eng,347,9/12/2005,W. W. Norton & Company,9318,907,Another Bullshit Night in Suck City
394,Garry Wills,4.14,671867423,9.78067E+12,en-US,317,6/12/1993,Simon & Schuster,120,15,Lincoln at Gettysburg: The Words That Remade America
397,Abraham Lincoln/Michael McCurdy,4.53,395883970,9.7804E+12,eng,32,2/2/1998,HMH Books for Young Readers,5239,76,The Gettysburg Address
399,Don DeLillo,3.92,684848155,9.78068E+12,eng,827,7/9/1998,Scribner,1505,175,Underworld
400,Don DeLillo,3.99,140156046,9.78014E+12,eng,480,5/1/1991,Penguin,11857,564,Libra
403,Don DeLillo,3.43,140119485,9.78014E+12,eng,377,7/6/1989,Penguin Books,393,55,Americana
404,Don DeLillo,3.43,679722947,9.78068E+12,eng,256,7/17/1989,Vintage Contemporaries,1356,72,Running Dog
406,Don DeLillo,3.22,743244257,9.78074E+12,eng,224,4/6/2004,Scribner,460,41,Cosmopolis
407,Don DeLillo,3.48,140179178,9.78014E+12,eng,272,1/1/1994,Penguin Books,2492,145,Great Jones Street
408,Don DeLillo,3.64,679722955,9.78068E+12,eng,339,7/17/1989,Vintage,3100,212,The Names
409,Thomas Pynchon,4.13,159420120X,9.78159E+12,eng,1085,11/21/2006,Penguin Press,5296,587,Against the Day
410,Thomas Pynchon,3.96,60930217,9.78006E+12,eng,547,7/5/2005,Harper Perennial Modern Classics,1415,177,V.
411,Thomas Pynchon,3.69,60931671,9.78006E+12,eng,152,4/1/1999,Harper Perennial,2161,230,The Crying of Lot 49
412,Thomas Pynchon,4.01,140283382,9.78014E+12,eng,784,1/1/2000,Penguin Books,762,213,Gravity's Rainbow
413,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,312423209,9.78031E+12,eng,773,1/3/2004,Picador USA,8086,602,Mason & Dixon
414,Thomas Pynchon,3.69,141180633,9.78014E+12,en-US,385,9/1/1997,Penguin Classics,702,69,Vineland
415,Thomas Pynchon,4.01,143039946,9.78014E+12,eng,776,10/31/2006,Penguin Books,29764,2164,Gravity's Rainbow
416,Thomas Pynchon,3.5,316724432,9.78032E+12,eng,193,4/30/1985,Back Bay Books,334,34,Slow Learner: Early Stories
418,Richard Fariña/Thomas Pynchon,3.8,140189300,9.78014E+12,eng,352,8/29/1996,Penguin Classics,2473,220,Been Down So Long It Looks Like Up To Me
420,Joan Didion,3.89,140004314X,9.7814E+12,en-US,227,10/4/2005,Knopf Publishing Group,2656,336,The Year of Magical Thinking
421,Joan Didion,4.17,374522219,9.78037E+12,eng,222,10/1/1990,Farrar Straus Giroux,11889,738,The White Album
422,Joan Didion,3.8,679754865,9.78068E+12,eng,272,4/11/1995,Vintage International,2962,255,A Book of Common Prayer
